YSO,MAIN_ID,"RA ( ""h:m:s"" )","DEC ( ""d:m:s"" )",j,h,k
1,2MASS J18183437-1345549,18 18 34.38171,-13 45 54.8982,14.758,13.525,12.785
1,2MASS J18183847-1344550,18 18 38.47166,-13 44 55.0580,14.761,13.679,13.367
1,2MASS J18185772-1347183,18 18 57.73086,-13 47 18.6714,16.42,15.854,15.335
1,2MASS J18184586-1350352,18 18 45.869,-13 50 35.29,15.19,14.146,13.703
1,2MASS J18183795-1344571,18 18 37.96086,-13 44 57.0848,14.362,13.298,12.861
1,2MASS J18183713-1345057,18 18 37.14338,-13 45 05.8262,14.492,13.482,13.094
1,2MASS J18185218-1350071,18 18 52.181,-13 50 07.18,15.292,14.371,13.952
1,2MASS J18183256-1348142,18 18 32.57539,-13 48 14.0963,14.835,13.502,12.872
1,2MASS J18185791-1347081,18 18 57.92555,-13 47 08.1621,13.886,13.004,12.669
1,2MASS J18183366-1346027,18 18 33.666,-13 46 02.73,14.884,13.706,13.278
1,2MASS J18183473-1349241,18 18 34.71763,-13 49 24.3859,15.699,14.271,13.519
1,2MASS J18183227-1347026,18 18 32.27760,-13 47 02.7057,14.956,13.979,13.543
1,2MASS J18183397-1345507,18 18 33.98039,-13 45 50.7343,15.074,13.751,13.165
1,2MASS J18183339-1346044,18 18 33.40244,-13 46 04.4912,13.186,12.186,11.833
0,2MASS J18185809-1346461,18 18 58.09497,-13 46 46.1947,13.846,13.245,12.986
1,2MASS J18183440-1345346,18 18 34.41720,-13 45 34.4646,15.005,13.712,
1,2MASS J18185487-1345176,18 18 54.88580,-13 45 17.6234,15.94,14.748,14.041
1,2MASS J18185258-1344491,18 18 52.59294,-13 44 49.1236,14.891,13.666,13.126
1,2MASS J18183753-1344483,18 18 37.55567,-13 44 48.3519,15.587,14.586,14.017
1,2MASS J18183540-1345131,18 18 35.41375,-13 45 12.8558,13.183,12.184,11.984
1,2MASS J18183208-1348280,18 18 32.08824,-13 48 28.0227,15.06,14.156,13.801
1,2MASS J18185244-1344438,18 18 52.44884,-13 44 43.7585,14.487,13.37,12.872
1,2MASS J18185360-1344550,18 18 53.60637,-13 44 55.0113,13.634,13.046,12.822
1,2MASS J18185879-1347253,18 18 58.79050,-13 47 25.2825,15.145,14.079,13.852
1,2MASS J18183409-1345304,18 18 34.12340,-13 45 30.5851,15.43,14.255,13.188
1,2MASS J18185820-1348352,18 18 58.20514,-13 48 35.2960,14.685,13.492,12.867
1,2MASS J18185684-1345443,18 18 56.84028,-13 45 44.3152,13.248,12.46,12.128
1,2MASS J18183605-1344576,18 18 36.06949,-13 44 57.7037,14.416,12.874,12.02
1,2MASS J18184964-1344189,18 18 49.650,-13 44 18.92,15.659,13.469,12.213
1,2MASS J18183300-1345478,18 18 33.00928,-13 45 47.9952,15.734,14.529,13.97
1,2MASS J18183511-1345069,18 18 35.12081,-13 45 06.9929,14.429,13.283,12.787
1,2MASS J18184724-1344064,18 18 47.244,-13 44 06.47,19.098,15.157,13.066
1,2MASS J18185642-1345254,18 18 56.43121,-13 45 25.4279,14.933,13.987,13.645
1,2MASS J18183186-1346149,18 18 31.862,-13 46 14.97,15.113,13.936,13.437
1,2MASS J18184956-1350492,18 18 49.57874,-13 50 49.2365,14.932,14.387,14.189
1,2MASS J18183795-1350317,18 18 37.953,-13 50 31.73,16.572,14.674,13.69
1,2MASS J18183392-1345211,18 18 33.929,-13 45 21.15,14.931,13.939,13.452
1,2MASS J18183158-1346224,18 18 31.57784,-13 46 22.3707,15.923,14.868,14.41
1,2MASS J18185792-1349055,18 18 57.930,-13 49 05.51,15.008,13.786,13.148
1,2MASS J18184784-1350570,18 18 47.84433,-13 50 56.9451,14.816,13.809,13.413
