MAIN_ID,RAJ2000 ( deg ),DEJ2000 ( deg ),j,h,k
03004892+0056538,45.203871,0.948293,16.271,15.911,15.707
03005491+0057328,45.228815,0.959134,11.839,11.505,11.441
03005728+0057383,45.238703,0.960666,11.145,10.9,10.848
03005840+0058036,45.243344,0.967684,14.585,13.94,13.688
03005565+0058208,45.231888,0.972459,13.585,13.036,12.944
03003190+0056597,45.132941,0.949934,15.36,14.989,14.585
03003408+0056536,45.142016,0.948235,16.464,15.226,14.914
03002981+0057370,45.124215,0.960286,16.457,16.2,15.344
03004176+0058072,45.174006,0.968675,16.106,15.428,14.903
03002991+0058028,45.124639,0.967472,15.332,15.057,15.019
03003108+0058384,45.129513,0.977336,14.536,13.872,13.719
03003284+0059078,45.136852,0.985523,16.746,16.194,15.5
03004280+0058323,45.178372,0.975665,15.374,14.741,14.42
03004702+0059362,45.195948,0.993391,8.071,7.953,7.833
03004952+0059583,45.206358,0.999546,15.881,15.31,15.197
03004962+0100187,45.206785,1.005215,12.086,11.513,11.342
03004900+0100133,45.204202,1.003704,15.122,14.645,14.167
03004520+0100156,45.188373,1.004359,15.908,15.376,15.266
03003536+0100169,45.147374,1.004711,13.636,13.03,12.841
03003367+0100487,45.140323,1.013529,16.563,15.778,15.037
02591414+0045380,44.808935,0.760567,16.162,15.411,15.049
02592450+0046122,44.852109,0.770058,16.295,15.792,15.351
02591181+0046468,44.799237,0.779669,11.725,11.129,10.863
02591465+0046533,44.811059,0.781498,16.357,15.871,15.282
02591650+0047035,44.818771,0.784324,16.824,15.992,15.536
02591659+0048298,44.819128,0.808296,16.203,15.173,14.496
02592890+0048036,44.870454,0.801008,15.909,15.3,15.111
02592713+0048287,44.863059,0.807985,15.232,14.842,14.831
02593595+0049274,44.899823,0.824302,14.441,13.973,13.937
02593171+0049170,44.882154,0.821404,16.578,16.165,15.235
02592218+0048373,44.842446,0.810372,14.147,13.451,13.236
02592804+0050094,44.866858,0.835958,14.595,13.945,13.735
02593052+0050527,44.8772,0.847988,15.636,14.925,14.42
02590801+0048046,44.783376,0.801304,15.558,15.074,15.007
02591697+0049043,44.820747,0.817882,15.888,15.347,15.322
02591111+0049027,44.796327,0.817422,17.035,16.081,15.53
02590431+0049303,44.767961,0.825093,15.802,15.35,15.045
02590644+0049288,44.776853,0.824686,16.512,15.954,14.471
02590650+0050112,44.777097,0.836458,17,16.019,15.376
02591744+0050412,44.822685,0.844799,15.8,14.989,14.52
02591768+0051210,44.823669,0.855835,15.361,14.81,14.772
02592008+0051183,44.833669,0.855102,13.425,12.904,12.773
02594472+0050598,44.936334,0.84995,15.812,15.025,14.931
02593507+0051084,44.89615,0.852345,16.496,16.058,15.797
02593589+0051395,44.899559,0.860977,15.288,14.549,14.359
02593191+0051147,44.882973,0.85409,14.171,13.998,13.527
02593202+0051179,44.88342,0.854979,14.45,15.047,13.681
02592941+0051337,44.872572,0.859377,13.198,12.791,12.723
02594024+0051500,44.917685,0.863891,15.906,15.032,14.883
02594014+0052414,44.917274,0.878191,14.45,13.931,13.91
02594154+0053155,44.923084,0.887656,16.263,15.502,14.948
02594469+0054207,44.936245,0.90577,14.524,13.853,13.646
02594557+0054196,44.939901,0.905468,14.858,14.228,14.149
02594752+0054344,44.948026,0.909567,14.645,14.163,13.997
02592540+0052365,44.85584,0.87683,16.754,16.135,15.875
02592076+0053400,44.836532,0.894452,16.907,16.121,15.808
02592123+0054133,44.838474,0.903719,16.183,14.822,13.856
02593119+0054364,44.879988,0.910115,15.965,15.298,15.094
02593153+0055033,44.881394,0.91761,15.953,15.297,15.013
02594011+0055279,44.917162,0.924435,15.52,15.111,15.178
02593927+0055320,44.913658,0.925582,16.466,15.675,15.375
02594782+0056166,44.949285,0.937958,14.984,14.323,14.027
02594153+0056218,44.923048,0.939398,16.973,15.829,15.87
02593292+0055043,44.887186,0.917885,16.444,15.564,15.405
02593233+0055112,44.884744,0.919799,11.855,11.562,11.538
02593748+0056363,44.906204,0.943425,16.931,16.489,15.682
02593802+0057053,44.908439,0.951484,15.735,15.09,15.358
02590080+0050523,44.753368,0.847868,14.655,14.158,13.977
02590141+0052106,44.755888,0.869623,13.411,13.089,12.951
02585420+0052527,44.725851,0.881327,15.566,15.063,14.823
02590724+0051348,44.780206,0.859671,17.136,16.07,16.027
02590704+0053446,44.779364,0.895736,15.244,14.818,14.425
02590151+0053459,44.75633,0.896084,15.445,14.531,14.086
02590110+0053496,44.754602,0.897126,16.208,15.534,15.135
02590449+0055058,44.768732,0.918288,16.669,15.806,15.458
02585193+0053210,44.71639,0.889187,14.514,13.88,13.721
